Alabama,3190
Alaska,222
Arizona,2912
Arkansas,1769
California,10327
Colorado,1702
Connecticut,1039
Delaware,427
Florida,8476
Georgia,3699
Hawaii,484
Idaho,712
Illinois,3866
Indiana,2210
Iowa,968
Kansas,1214
Kentucky,2041
Louisiana,3046
Maine,491
Maryland,1716
Massachusetts,1370
Michigan,2912
Minnesota,1442
Mississippi,2560
Missouri,3314
Montana,932
Nebraska,682
Nevada,1,025
New Hampshire,399
New Jersey,1816
New Mexico,1254
New York,3752
North Carolina,4102
North Dakota,502
Ohio,3637
Oklahoma,2205
Oregon,1232
Pennsylvania,4663
Rhode Island,308
South Carolina,3870
South Dakota,537
Tennessee,3423
Texas,13138
Utah,469
Vermont,212
Virginia,2613
Washington,1921
West Virginia,1092
Wisconsin,2577
Wyoming,506